,precision,recall,f1-score,support
0,1.0,1.0,1.0,161.0
1,1.0,1.0,1.0,199.0
2,1.0,1.0,1.0,161.0
3,1.0,0.9943181818181818,0.9971509971509972,176.0
4,1.0,0.9945945945945946,0.997289972899729,185.0
5,1.0,1.0,1.0,199.0
6,1.0,1.0,1.0,169.0
7,1.0,1.0,1.0,173.0
8,1.0,1.0,1.0,172.0
9,1.0,1.0,1.0,162.0
10,1.0,1.0,1.0,184.0
11,1.0,0.994413407821229,0.9971988795518207,179.0
12,0.9947089947089947,1.0,0.9973474801061007,188.0
13,1.0,0.9890710382513661,0.9945054945054945,183.0
14,0.9896907216494846,1.0,0.9948186528497409,192.0
15,1.0,1.0,1.0,186.0
16,1.0,1.0,1.0,167.0
17,0.9883720930232558,1.0,0.9941520467836257,170.0
18,0.9943502824858758,0.9887640449438202,0.9915492957746479,178.0
19,0.9941860465116279,1.0,0.9970845481049563,171.0
20,0.9945945945945946,1.0,0.997289972899729,184.0
21,1.0,0.9845360824742269,0.9922077922077922,194.0
22,1.0,1.0,1.0,172.0
23,0.985,1.0,0.9924433249370277,197.0
24,1.0,1.0,1.0,176.0
25,1.0,1.0,1.0,197.0
26,1.0,0.9948717948717949,0.9974293059125964,195.0
27,1.0,1.0,1.0,175.0
28,1.0,1.0,1.0,175.0
accuracy,0.9978927203065134,0.9978927203065134,0.9978927203065134,0.9978927203065134
macro avg,0.9979621632059942,0.9979506601646626,0.9979471642649745,5220.0
weighted avg,0.9979118266316716,0.9978927203065134,0.9978926493718137,5220.0
